coucou Challenge 1 : Savez-vous comment s appelle mon logo|1) Linux Mint
Challenge 2 : Comment faire le reverse search ?|2) Google Images -> Insérer image -> Rechercher
Challenge 3 :  File Transfer Protocol ?|3) FTP
Challenge 4 :  ?|4)
Challenge 5 :  ?|5)
Challenge 6 :  ?|6)
Challenge 7 :  ?|7)
Challenge 8 :  ?|8)
Challenge 9 :  ?|9)
Challenge 10 :  ?|10)
Challenge 11 :  ?|11)
Challenge 12 :  ?|12)
Challenge 13 :  ?|13)
Challenge 14 :  ?|14)
Challenge 15 :  ?|15)
Challenge 16 :  ?|16)
Challenge 17 :  ?|17)
Challenge 18 :  ?|18)
Challenge 19 :  ?|19)
Challenge 20 :  ?|20)
Challenge 21 :  ?|21)
Challenge 22 :  ?|22)
Challenge 23 :  ?|23)
Challenge 24 :  ?|24)
Challenge 25 :  ?|25)
Challenge 26 :  ?|26)
Challenge 27 :  ?|27)
Challenge 28 :  ?|28)
Challenge 29 :  ?|29)
Challenge 30 :  ?|30)
Challenge 31 :  ?|31)
Challenge 32 :  ?|32)
Challenge 33 :  ?|33)
Challenge 34 :  ?|34)
Challenge 35 :  ?|35)
Challenge 36 :  ?|36)
Challenge 37 :  ?|37)
Challenge 38 :  ?|38)
Challenge 39 :  ?|39)
Challenge 40 :  ?|40)
